bracket_text	count	class	example_song_ids
GUARDS	7	speaker_or_tag	hf_27716,hf_27716,hf_27716,hf_27716,hf_27716
Reprise	6	speaker_or_tag	hf_00002,hf_00648,hf_07507,hf_09743,hf_10900
Refrain 3	6	section_marker	hf_00184,hf_03602,hf_12363,hf_13037,hf_18098
Pre- Chorus	6	section_marker	hf_00281,hf_00281,hf_07996,hf_07996,hf_15680
PETER	6	speaker_or_tag	hf_00546,hf_00546,hf_04726,hf_04726,hf_04726
Chorus: x2	6	section_marker	hf_00747,hf_10630,hf_10630,hf_10630,hf_10630
Dani	6	speaker_or_tag	hf_00973,hf_00973,hf_00973,hf_00973,hf_00973
Lauren	6	speaker_or_tag	hf_00973,hf_00973,hf_00973,hf_00973,hf_00973
Verse I	6	section_marker	hf_00996,hf_09289,hf_11248,hf_12650,hf_20560
Chorus: Mick Jenkins	6	section_marker	hf_01042,hf_05412,hf_05412,hf_28099,hf_28099
ORPHEUS	6	speaker_or_tag	hf_01052,hf_01052,hf_01052,hf_01052,hf_01052
Bridge 3	6	section_marker	hf_01200,hf_06694,hf_11529,hf_12038,hf_17668
Julius Luciano	6	speaker_or_tag	hf_01342,hf_01342,hf_01342,hf_01342,hf_01342
Margaret	6	speaker_or_tag	hf_02083,hf_02083,hf_02083,hf_02083,hf_02083
Chorus: ?	6	section_marker	hf_02311,hf_02311,hf_02311,hf_02311,hf_02311
Chorus: Gucci Mane	6	section_marker	hf_03280,hf_03280,hf_03280,hf_14517,hf_14517
Chorus: Sheek Louch	6	section_marker	hf_03586,hf_03586,hf_07205,hf_07205,hf_07205
Chorus: RJLDiablo	6	section_marker	hf_03673,hf_03673,hf_10979,hf_12727,hf_12727
Pre-hook	6	section_marker	hf_04053,hf_05156,hf_05156,hf_06756,hf_29997
Part 1	6	speaker_or_tag	hf_04316,hf_10078,hf_15913,hf_25440,hf_26785
Outtro	6	speaker_or_tag	hf_04350,hf_11276,hf_12315,hf_21901,hf_23898
Verse 2: Young Thug	6	section_marker	hf_04766,hf_08709,hf_12747,hf_14285,hf_26721
Chorus: John Cooper & Jen Ledger	6	section_marker	hf_05039,hf_05039,hf_05039,hf_18571,hf_18571
Instrumental Drop	6	section_marker	hf_05470,hf_06167,hf_15986,hf_15986,hf_27899
Chorus: Chester Bennington	6	section_marker	hf_05611,hf_05611,hf_06012,hf_06012,hf_06012
Chorus: CB3	6	section_marker	hf_05696,hf_05696,hf_05696,hf_25092,hf_25092
Chorus: Max Seen	6	section_marker	hf_05876,hf_05876,hf_05876,hf_10792,hf_10792
Z-SES-02:	6	other	hf_07020,hf_07020,hf_07020,hf_07020,hf_07020
Pre-Verse	6	section_marker	hf_07045,hf_10537,hf_10537,hf_13712,hf_20895
Chorus: Upchurch	6	section_marker	hf_07302,hf_07302,hf_07302,hf_28757,hf_28757
Verse 1: Colt Ford	6	section_marker	hf_07656,hf_16152,hf_19796,hf_23561,hf_23655
Hook 3	6	section_marker	hf_08111,hf_09339,hf_09572,hf_12514,hf_18446
Chorus: Juicy J	6	section_marker	hf_08141,hf_08141,hf_08141,hf_11994,hf_11994
interlude	6	section_marker	hf_09470,hf_16251,hf_16251,hf_17984,hf_20593
Napoleon Da Legend	6	speaker_or_tag	hf_09554,hf_09554,hf_09554,hf_09554,hf_09554
Hitman	6	speaker_or_tag	hf_09871,hf_09871,hf_09871,hf_09871,hf_09871
Verse 2: Charlie Farley	6	section_marker	hf_10400,hf_12518,hf_15719,hf_16152,hf_21661
X2	6	repeat_marker	hf_11006,hf_11006,hf_13009,hf_13009,hf_25550
RACE	6	speaker_or_tag	hf_11604,hf_11604,hf_11604,hf_11604,hf_11604
TROOPER 2	6	speaker_or_tag	hf_12161,hf_12161,hf_12161,hf_12161,hf_12161
TROOPER 1	6	speaker_or_tag	hf_12161,hf_12161,hf_12161,hf_12161,hf_12161
Music	6	speaker_or_tag	hf_13250,hf_15411,hf_15411,hf_21424,hf_28357
Chorus: Charli XCX	6	section_marker	hf_13476,hf_13476,hf_13476,hf_25611,hf_25611
Chorus: Kane Brown	6	section_marker	hf_14803,hf_22710,hf_26736,hf_26736,hf_26736
I gotta stay	6	speaker_or_tag	hf_15576,hf_15576,hf_15576,hf_15576,hf_15576
Everyday	6	speaker_or_tag	hf_15576,hf_15576,hf_15576,hf_15576,hf_15576
Guy	6	speaker_or_tag	hf_17297,hf_17297,hf_17297,hf_17297,hf_17297
Chorus: Zi	6	section_marker	hf_18375,hf_18375,hf_18375,hf_23158,hf_23158
Marquez Rosario	6	speaker_or_tag	hf_19092,hf_19092,hf_19092,hf_19092,hf_19092
Chorus: Bubba Sparxxx	6	section_marker	hf_19281,hf_19281,hf_19281,hf_19281,hf_28783
Me	6	speaker_or_tag	hf_20041,hf_20041,hf_20041,hf_20041,hf_20041
Natalie	6	speaker_or_tag	hf_20374,hf_20374,hf_20374,hf_20374,hf_20374
PHILIP	6	speaker_or_tag	hf_21773,hf_21773,hf_21773,hf_21773,hf_21773
Dragon	6	speaker_or_tag	hf_22622,hf_22622,hf_22622,hf_22622,hf_22622
Snoop	6	speaker_or_tag	hf_22651,hf_22651,hf_24094,hf_24094,hf_24094
9	6	other	hf_23080,hf_23080,hf_23080,hf_23080,hf_23080
Yaa	6	speaker_or_tag	hf_24625,hf_24625,hf_24625,hf_24625,hf_24625
Ayy	6	speaker_or_tag	hf_24625,hf_24625,hf_24625,hf_24625,hf_24625
sit up at night?	6	other	hf_24890,hf_24890,hf_24890,hf_24890,hf_24890
CLARKE	6	speaker_or_tag	hf_26414,hf_26414,hf_26414,hf_26414,hf_26414
Hillary	6	speaker_or_tag	hf_27181,hf_27181,hf_27181,hf_27181,hf_27181
Paul Cain	6	speaker_or_tag	hf_27440,hf_27440,hf_27440,hf_27440,hf_27440
Jamali	6	speaker_or_tag	hf_27594,hf_27594,hf_27594,hf_27594,hf_27594
CANDELA	6	speaker_or_tag	hf_27837,hf_27837,hf_27837,hf_27837,hf_27837
IVÁN, spoken	6	section_marker	hf_27837,hf_27837,hf_27837,hf_27837,hf_27837
Blacky Bxans	6	speaker_or_tag	hf_28190,hf_28190,hf_28190,hf_28190,hf_28190
JOHN	6	speaker_or_tag	hf_28513,hf_28513,hf_28513,hf_28513,hf_28513
verse 4	5	section_marker	hf_00058,hf_00757,hf_06606,hf_11803,hf_19233
A-Butta	5	speaker_or_tag	hf_00182,hf_00182,hf_00182,hf_00182,hf_00182
Bridge x2	5	section_marker	hf_00183,hf_08340,hf_15621,hf_20492,hf_20492
Amy	5	speaker_or_tag	hf_00973,hf_00973,hf_00973,hf_00973,hf_00973
Lisa	5	speaker_or_tag	hf_00973,hf_00973,hf_00973,hf_00973,hf_02558
Wait there!	5	other	hf_00988,hf_00988,hf_00988,hf_00988,hf_00988
HADES	5	speaker_or_tag	hf_01052,hf_01052,hf_01052,hf_01052,hf_01052
Chorus: BRELAND	5	section_marker	hf_01316,hf_17012,hf_17012,hf_17012,hf_17012
Andrew 'Dice' Dinero	5	speaker_or_tag	hf_01342,hf_01342,hf_01342,hf_01342,hf_01342
